2025-12-28 16:22:39,083 - INFO - Generated 319 seeds from boofuzz
2025-12-28 16:23:34,889 - WARNING - [65] CRASH: DELE | Payload: b'DELE /root\r\n'... | Error: 
2025-12-28 16:23:36,398 - WARNING - [66] CRASH: MKD | Payload: b'MKD ; ls\\\r\n'... | Error: 
2025-12-28 16:23:37,909 - WARNING - [67] CRASH: RMD | Payload: b'RMD /etc/shadow; /etc/shadow\r\n'... | Error: 
2025-12-28 16:23:39,419 - WARNING - [68] CRASH: STOR | Payload: b'STOR ../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../..'... | Error: 
2025-12-28 16:23:40,930 - WARNING - [69] CRASH: RETR | Payload: b'RETR %{\r\n'... | Error: 
2025-12-28 16:23:42,438 - WARNING - [70] CRASH: PASS | Payload: b'PASS \xc3\x80\xc2\xae${7*7}\r\n'... | Error: 
2025-12-28 16:23:43,948 - WARNING - [71] CRASH: RETR | Payload: b'RETR /tmp/file\\AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA'... | Error: 
2025-12-28 16:23:45,461 - WARNING - [72] CRASH: RETR | Payload: b'RETR root\r\n'... | Error: 
2025-12-28 16:23:46,970 - WARNING - [73] CRASH: CWD | Payload: b'CWD C:\\Windows\r\n'... | Error: 
2025-12-28 16:23:48,480 - WARNING - [74] CRASH: STOR | Payload: b'STOR /etc/passwd\r\n'... | Error: 
2025-12-28 16:23:49,989 - WARNING - [77] CRASH: STOR | Payload: b'STOR ..\\\r\n'... | Error: 
2025-12-28 16:23:51,499 - WARNING - [80] CRASH: STOR | Payload: b'STOR AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA'... | Error: 
2025-12-28 16:23:53,028 - WARNING - [82] CRASH: CWD | Payload: b'CWD subdir/subdir/subdir/subdir/subdir/subdir/subdir/subdir/subdir/subdir/subdir/subdir/subdir/subdi'... | Error: 
2025-12-28 16:23:54,538 - WARNING - [83] CRASH: RETR | Payload: b'RETR ..\\\r\n'... | Error: 
2025-12-28 16:23:56,051 - WARNING - [84] CRASH: RETR | Payload: b'RETR /etc/passwd\r\n'... | Error: 
